timestamp,dexsUSDeToCrvUSDC_open,dexsUSDeToCrvUSDC_high,dexsUSDeToCrvUSDC_low,dexsUSDeToCrvUSDC_close
1726952400,1.100353800706491,1.102124165348276,1.1004975232325576,1.1004975232325576
1727038800,1.1004975232325576,1.1002961492069065,1.097824312626489,1.097824312626489
1727125200,1.097824312626489,1.0996080969804645,1.097366242044081,1.0996080969804645
1727211600,1.0996080969804645,1.1013520871644686,1.0988194024680813,1.1008568415757318
1727298000,1.1008568415757318,1.1005061695971248,1.082163742250339,1.0972351462298282
1727384400,1.0972351462298282,1.0991485445734548,1.0941814196660549,1.0990607357891393
1727470800,1.0990607357891393,1.1023779580249107,1.0992239494538403,1.102300037410105
1727557200,1.102300037410105,1.1026257480535395,1.1017303174177715,1.1025582633438986
1727643600,1.1025582633438986,1.1036603063366506,1.0834379965298018,1.1036603063366506
1727730000,1.1036603063366506,1.1037397445545574,1.1023838277399483,1.1030276374450905
1727816400,1.1030276374450905,1.1038860372797823,1.0805640322619259,1.1026677049698375
1727902800,1.1026677049698375,1.1136257365133602,1.1028998842947422,1.1038248354990736
1727989200,1.1038248354990736,1.105088027069293,1.103193266487031,1.1040292717444935
1728075600,1.1040292717444935,1.104917653412034,1.1038274110681805,1.104215393263056
1728162000,1.104215393263056,1.1051094209804844,1.1042595446855807,1.1046701006748734
1728248400,1.1046701006748734,1.1056448732109314,1.0838464774511134,1.1046089207121086
1728334800,1.1046089207121086,1.1055634558614718,1.1048335105156388,1.1048335105156388
1728421200,1.1048335105156388,1.1051162897129638,1.1042171776960907,1.1051162897129638
1728507600,1.1051162897129638,1.1063509415327577,1.0361681646750687,1.0996824315985751
1728594000,1.0996824315985751,1.1058050870308027,1.0994828639919387,1.1037670358166205
1728680400,1.1037670358166205,1.1049032578515832,1.100428888163946,1.104591075590793
1728766800,1.104591075590793,1.1071964916956574,1.1044267787733184,1.1067871811603907
1728853200,1.1067871811603907,1.1086739771493999,1.1069109970646858,1.107238708979885
1728939600,1.107238708979885,1.108556861699821,1.1067775128938186,1.1078455994840721
1729026000,1.1078455994840721,1.1084140067865538,1.106074208416235,1.1082314619273228
1729112400,1.1082314619273228,1.1085160978847197,1.1077536903927292,1.1082635494246489
1729198800,1.1082635494246489,1.1100038074131582,1.1086140854071689,1.1096003986895742
1729285200,1.1096003986895742,1.1103244358379336,1.1094609053207833,1.1103244358379336
1729371600,1.1103244358379336,1.1107678304241997,1.1096956767882589,1.1107678304241997
1729458000,1.1107678304241997,1.1111194051907423,1.1105549486776756,1.1111194051907423
1729544400,1.1111194051907423,1.1120127679315428,1.1102048647176304,1.1120127679315428
1729630800,1.1120127679315428,1.1117684554773972,1.111520321149293,1.111520321149293
1729717200,1.111520321149293,1.112154797749156,1.1086329654330476,1.1108714009506628
1729803600,1.1108714009506628,1.1122537647361643,1.1112397230094588,1.1118812743856124
1729890000,1.1118812743856124,1.1120909796997633,1.1111345015594367,1.1117826647354017
1729976400,1.1117826647354017,1.111897758604223,1.111897758604223,1.111897758604223
1730062800,1.111897758604223,1.1134062510003022,1.112159132998837,1.1127841563452099
1730149200,1.1127841563452099,1.1145606344581778,1.1129802989521185,1.1145606344581778
1730235600,1.1145606344581778,1.1155981125012207,1.1147469326116337,1.1148137431820069
1730322000,1.1148137431820069,1.1152597906141886,1.114985003371397,1.114985003371397
1730408400,1.114985003371397,1.115301578051291,1.1143832344766214,1.1150577126572905
1730494800,1.1150577126572905,1.116835939850862,1.1153873518238904,1.115956053829899
1730581200,1.115956053829899,1.1168557607204923,1.1144750966018917,1.116763269213397
1730667600,1.116763269213397,1.1169765677118841,1.1162601672257817,1.1162601672257817
1730754000,1.1162601672257817,1.11686412405136,1.116176492463649,1.11686412405136
1730840400,1.11686412405136,1.11960640520449,1.1165057565995782,1.11960640520449
1730926800,1.11960640520449,1.1251740128589227,1.1215810764448106,1.1224042814587596
1731099600,1.1228443733466664,1.123334002731541,1.1216167121919114,1.123334002731541
1731186000,1.123334002731541,1.12258512142812,1.1216318927107398,1.12258512142812
1731272400,1.12258512142812,1.1220909389469518,1.1220909389469518,1.1220909389469518
1731358800,1.1220909389469518,1.121779318673487,1.1192341544510285,1.121779318673487
1731445200,1.121779318673487,1.1239099777223798,1.123243740765254,1.1239099777223798
1731531600,1.1239099777223798,1.1269544633451674,1.125067722249468,1.1263404598772762
1731618000,1.1263404598772762,1.1276570394599703,1.1248331621676317,1.1250521546005812
1731704400,1.1250521546005812,1.1278238037068211,1.1258334816871556,1.1266563779311565
1731790800,1.1266563779311565,1.1271099574178294,1.1248843673204392,1.1248869196423164
1731877200,1.1248869196423164,1.1270981607514678,1.1253169251659207,1.1270981607514678
1731963600,1.1270981607514678,1.1277603250569506,1.1268289665762306,1.1268289665762306
1732050000,1.1268289665762306,1.1308485822354128,1.1264863569529282,1.1285961180626103
1732136400,1.1285961180626103,1.1285957533191646,1.1279179270732316,1.1279179270732316
1732222800,1.1279179270732316,1.133736115044241,1.1265760468765507,1.130835382409772
1732309200,1.130835382409772,1.129945432487502,1.129361698482721,1.129361698482721
1732395600,1.129361698482721,1.1307095734880794,1.1276019045748475,1.1276019045748475
1732482000,1.1276019045748475,1.1303350462351276,1.127195665292395,1.129049342113085
1732568400,1.129049342113085,1.1293643721858913,1.127693940237996,1.128063353903015
1732654800,1.128063353903015,1.1289841727655057,1.1278309681662102,1.128138638509503
1732741200,1.128138638509503,1.1297825878482621,1.1283600267713567,1.1297825878482621
1732827600,1.1297825878482621,1.130795099188942,1.1291578833816909,1.130139481831213
1732914000,1.130139481831213,1.1325340603917542,1.1306563553825002,1.1306563553825002
1733000400,1.1306563553825002,1.1324927239016622,1.1302408022903947,1.1322652845843788
1733086800,1.1322652845843788,1.1343181167377547,1.1335359539599787,1.1343181167377547
1733173200,1.1343181167377547,1.1343602525370846,1.1314208637282521,1.1319460167495894
1733259600,1.1319460167495894,1.137257072133286,1.132449260262487,1.1352319195463436
1733346000,1.1352319195463436,1.137627268392129,1.1356662097775092,1.136678630749957
